year	temperature	flowering
816	-50.00	
817	-50.00	
818	-50.00	
819	-50.00	
820	-50.00	
821	-50.00	
822	-50.00	
823	-50.00	
824	-50.00	
825	-50.00	
826	-50.00	
827	-50.00	92
828	-50.00	
829	-50.00	
830	-50.00	105
831	-50.00	
832	-50.00	
833	-50.00	
834	-50.00	
835	-50.00	
836	-50.00	
837	-50.00	
838	-50.00	
839	-50.00	
840	-50.00	
841	-50.00	
842	-50.00	
843	-50.00	
844	-50.00	
845	-50.00	
846	-50.00	96
847	-50.00	
848	-50.00	
849	-50.00	
850	-50.00	
851	-50.00	
852	-50.00	
853	-50.00	
854	5.87	
855	5.99	
856	6.12	
857	6.25	
858	6.37	
859	6.50	
860	6.62	
861	6.75	
862	6.88	
863	7.00	
864	7.13	
865	7.25	
866	7.38	108
867	-50.00	
868	-50.00	104
869	-50.00	
870	-50.00	
871	-50.00	
872	-50.00	
873	-50.00	
874	-50.00	
875	-50.00	
876	6.63	
877	6.51	
878	6.44	
879	6.42	100
880	6.44	
881	6.44	106
882	-50.00	
883	-50.00	
884	-50.00	95
885	-50.00	
886	-50.00	
887	-50.00	
888	-50.00	
889	-50.00	
890	-50.00	
891	5.60	
892	5.71	
893	5.82	
894	5.95	
895	6.08	
896	6.22	
897	6.40	
898	6.23	
899	6.30	
900	6.36	
901	6.43	
902	6.65	
903	6.74	
904	6.83	104
905	6.88	
906	6.98	109
907	7.11	108
908	6.93	
909	6.98	106
910	7.08	104
911	7.20	104
912	7.35	
913	7.36	
914	7.37	
915	7.45	
916	7.48	
917	7.50	102
918	7.40	
919	7.37	
920	7.34	
921	7.32	
922	7.29	
923	7.26	98
924	7.21	
925	7.19	
926	6.85	
927	6.78	95
928	6.61	110
929	6.92	
930	6.77	
931	6.63	
932	6.48	95
933	6.33	
934	6.40	
935	6.80	
936	6.79	
937	6.77	
938	6.76	104
939	6.84	
940	7.40	
941	7.45	98
942	6.82	
943	6.68	
944	6.78	
945	6.81	97
946	6.47	
947	6.58	
948	6.72	106
949	6.49	
950	6.71	
951	6.83	
952	6.94	
953	7.02	
954	7.10	
955	7.17	
956	7.25	109
957	7.56	
958	7.54	
959	7.47	
960	7.43	
961	7.39	
962	7.23	
963	7.16	
964	7.10	107
965	7.20	95
966	7.08	
967	6.97	
968	6.85	
969	6.74	
970	7.07	89
971	6.94	
972	6.93	112
973	6.96	109
974	7.14	97
975	7.07	101
976	7.06	87
977	6.84	
978	6.82	94
979	6.73	
980	6.74	104
981	6.76	98
982	6.75	103
983	6.79	
984	6.84	98
985	6.48	
986	6.52	
987	6.57	107
988	6.64	
989	5.91	108
990	5.98	101
991	6.20	
992	6.16	112
993	6.57	
994	6.48	104
995	6.74	
996	6.60	
997	6.46	
998	6.32	
999	6.08	
1000	5.92	94
1001	5.64	
1002	5.79	
1003	5.67	
1004	5.80	100
1005	5.53	
1006	5.53	104
1007	5.29	
1008	5.32	
1009	5.35	
1010	5.38	
1011	5.42	
1012	5.45	
1013	5.48	
1014	5.14	
1015	5.10	105
1016	5.41	
1017	5.30	
1018	5.41	
1019	5.62	117
1020	5.89	
1021	5.92	100
1022	5.73	106
1023	5.66	
1024	5.74	
1025	5.82	
1026	5.87	
1027	5.94	
1028	6.02	
1029	6.09	115
1030	6.26	
1031	6.26	111
1032	6.39	99
1033	6.04	113
1034	6.32	98
